Headline,Publication,Summary,Date
Stofkam door regels halen' Minister wil procedures voor bouw en milieu vereenvoudigen,"NRC Handelsblad, Economie; Blz. 21, 1328 words",,28/6/2011
Welstand afgeschaft Gemeenten mogen zelf bepalen of zij commissies om advies vragen,"De Telegraaf, Woonkrant; Blz. 29, 679 words",,7/12/2011
Hoe maak je een stad? Architectuur Interview Henk Ovink,"de Volkskrant, V Opening; Blz. 16, 1675 words",,13/4/2012
Burgers bouwen geen gekke dingen,"NRC Handelsblad, Binnenland, 1174 words",,21/9/2012
Omgeving en vervoer XII.  Ruimte en mobiliteit,"NRC Handelsblad, Special, 1563 words",,5/11/2012
Omgevingswet krijgt één loket,"de Volkskrant, Binnenland; Blz. 11, 324 words",,13/7/2013
"Schenking hoger,  de student betaalt Rijksbegroting Economie Kabinet wil stimuleren, maar bezuinigingen stapelen zich op","NRC Handelsblad, In het nieuws, 650 words",,18/9/2013
Wacht op onze daden....,"de Volkskrant, Ten Eerste, 1796 words",,18/9/2013
"eden van de Staten-Generaal, Troonrede  Voor het eerst sprak Willem-Alexander op Prinsjesdag de Staten-Generaal toe. Mark Kranenburg licht zes opmerkelijke zinsneden toe.","NRC Handelsblad, In het nieuws, 2446 words",,18/9/2013
Bouwen aan een sterk land',"De Telegraaf, Troonrede_Pridag; Blz. 14, 2495 words",,18/9/2013
Bouwvergunningen Simpeler en sneller,"NRC Handelsblad, In het nieuws; Blz. 2, 264 words",,17/6/2014
Zelf iets leuks bouwen - straks mag het wél,"NRC Handelsblad, Binnenland; Blz. 5, 702 words",,17/6/2014
Kantoor aan huis Loft2go  maakt wonen in leegstaande bedrijfspanden mogelijk,"De Telegraaf, Woonkrant; Blz. 27, 663 words",,25/6/2014
Dit wordt allemaal anders Een greep uit de plannen Dalende zorgkosten,"NRC.NEXT, weten; Blz. 5, 965 words",,17/9/2014
Rutte II geeft oppositie munitie,"NRC Handelsblad, In het nieuws; Blz. 2, 613 words",,17/9/2014
Werken aan vitale samenleving',"De Telegraaf, RED TroonRede; Blz. 14, 2416 words",,17/9/2014
"Leden van de Staten-Generaal,","de Volkskrant, Ten Eerste, 2428 words",,17/9/2014
"eden van de Staten-Generaal,","NRC Handelsblad, In het nieuws; Blz. 7, 2838 words",,17/9/2014
De nieuwe bouwvergunning DE MAKELAAR HANS BROEREN,"De Telegraaf, Reiskrant-; Blz. 19, 343 words",,18/10/2014
De tijden zijn niet vergevingsgezind,"de Volkskrant, Ten Eerste, 2058 words",,11/7/2015
Windmolens geen prettig contact met de overheid,"NRC Handelsblad, opinie, 800 words",,3/9/2015
"Nu niet verslappen, Mark!","de Volkskrant, Ten Eerste, 2454 words",,15/9/2015
Ministerie van spoor en asfalt,"NRC Handelsblad, Economie, 755 words",,27/10/2015
Het ministerie met  de gaten,"NRC.NEXT, economie, 771 words",,28/10/2015
Binckhorst wordt groene waterwijk Realisatie kost minimaal tien jaar,"De Telegraaf, Regio; Blz. 12, 497 words",,15/12/2015
Bebouwing strand kan gunstig zijn,"de Volkskrant, Vonk; Blz. 7, 851 words",,9/1/2016
Zandkastelen,"de Volkskrant, Opinie en Debat; Blz. 23, 783 words",,20/1/2016
Is er leven in de berm? Wonen langs snelwegen eeuwige spagaat in ons overvolle land,"De Telegraaf, Reportage; Blz. 30, 1248 words",,23/1/2016
