document_id,time,person,organization,statement_id,Column1,summary,Policy Means,Policy Ends,SubTopics,Type of Belief,text,Column2,Column3,agreement,start_position,stop_position,document_section,document_type,coder,document_author,document_source,concept
6,28/11/2020 1:00,Jurgen Nobel & Julius Terpstra,Municipality of Haarlemmermeer,4,,make procedures in EPA more clear and less complicated,,Procedural Simplification,,,"Do not make the existing procedures even more complicated in the new environmental law, but rather more clear.",,,0,3600,3710,,,1,,LeidschDagblad,Instruments simplifies procedures
7,3/1/2024 1:00,Peter Nicolai,Senate,12,,dso issues will cause legal issues,,Legal Problems,,,"“That everyone will soon be looking at a black screen. That you apply for a permit, but see something different on your screen. So people get angry and go to court. So that we will soon have a crazy chain of licensing and then a stalled chain of legal protection, including penalty payments because the deadlines are not met.""",,,0,8663,8989,,,1,,LeidschDagblad,Implementation should not postpone
8,8/5/2020 2:00,Thom de Graaf,Council of State,13,,laws from EPA are vague and up to intepretation,,Legal Problems,,,"""Many laws are made in which the standards are open or vague. Consider the Environmental Act: in it the legislator actually moves the setting of standards to the implementation. Many laws shift power to the board: they are allowed to draw up the norms and rules. But if they are vague or remain open, it ultimately falls to the judge to interpret or even set the standards. If politicians standardize better, this will happen less.""",,,0,4585,5017,,,1,,NRCNEXT,Legislation is legally sound
54,9/5/2023 2:00,Jacques Sluysman,Radboud University Nijmengen,51,,EPA causes legal uncertainties,,Legal Problems,,,"Professor Sluysmans also fears that the introduction of the Environmental Act will ""call into question"" the certainties offered by the current law and could lead to years of legal uncertainty.",,,0,5661,5853,,,1,,NRC,Legislation is legally sound
62,5/9/2023 2:00,Wim Pijbes,Droom en Daad Foundation,55,,law bundling causes partial laws to contradict,,Legal Problems,,," While a decision can currently be justified with a specific law, this will no longer be possible with the introduction of the Environmental Act, he fears. “Then everything came together. I really foresee that the Environmental Act will create all kinds of paradoxical problems with partial laws that contradict each other. And that only makes building more difficult. If you have a monumental building that needs to be renovated and a bat is found: congratulations and good luck.""",,,0,8824,9305,,,1,,NRC,Legislation is legally sound
63,12/2/2022 1:00,Fred Kistenkas,Wageningen University,59,,law bundling causes strict environmental standards to fall since it is replaced by municipal standards,,Legal Problems,,,"That won't get you far in court, agrees Fred Kistenkas, associate professor of environmental law in Wageningen and another critic of the Environmental Act. According to him, the integrated consideration that this system change suggests is not legally possible at all.

The Netherlands is bound by European rules in the field of nature, water and air quality. 'These have been determined sector-by-sector, with strict legal standards. But now policy documents give the impression that you can deviate from this as a municipality.'",,,0,9162,9691,,,1,,deVolkskrant,Decentralization is helpful
103,11/12/2021 1:00,Pim de Vroomen,Pim de Vroomen,477,,noise regulations of EPA is logically flawed,,Legal Problems,,,"Curiously enough, it could therefore be a conclusion that no windows should be installed in noise-congested facades. You can't open them and that is much healthier.",,,1,1886,2050,,,1,,LeidschDagblad,
4,12/10/2022 2:00,ICT Assessment Advisory Board,ICT Assessment Advisory Board,2,,dso is risky to be introduced now,,Implementation Conditions,Timing of Introduction,,"According to the council, there are still 'significant limitations' in 'the current state of the Digital System Environmental Act' (DSO) that entail risks if the introduction per
January 1st.",,,0,399,590,,,1,,FrieschDagblad,Implementation should not postpone
7,3/1/2024 1:00,Hugo De Jonge,Ministry for Housing and Spatial Planning of the Netherlands,7,,implementation should not postpone,,Implementation Conditions,,,"""Would it have worked better if we had postponed the introduction again? I'm sure not. You have to leave the side at some point. And that is now .""",,,1,1961,2108,,,1,,LeidschDagblad,Implementation should not postpone
7,3/1/2024 1:00,Marianne Swart,Municipality of Leeuwarden,8,,Permits are not functioning as intended,,Implementation Conditions,,,"In Leeuwarden they think they can get by with this new law. There they see citizens struggling with unpredictable questionnaires before a permit is processed. ""Anyone who now applies for a permit for a flagpole must answer the question of how they intend to live in it,"" says Marianne Swart, until recently the Environmental Plan/Environmental Act task manager at the municipality of Leeuwarden.",,,1,5977,6372,,,1,,LeidschDagblad,Implementation should not postpone
7,3/1/2024 1:00,Marianne Swart,Municipality of Leeuwarden,9,,EPA should not postpone even if not flawless,,Implementation Conditions,,,"No further delay is necessary for Leeuwarden. ""We are now just going to implement that law and experience what works and what does not."" It will not be flawless, according to Swart. ""But we hope that in a few years we can say that it has been a mega job, which is also necessary.""",,,1,7411,7691,,,1,,LeidschDagblad,Implementation should not postpone
