"","person","organization","Actor Type"
"1","Abdelhaq Jermoumi","Municipality of Leiden","Government (Municipal)"
"2","Adriaan Geuze","Wageningen University","Academic and Research"
"3","Advisory Committee of the Council of State","Advisory Committee of the Council of State","Government (National)"
"4","Advisory Committee on Land and Environmental Law","Advisory Committee on Land and Environmental Law","Government (National)"
"5","Alex Brenninkmeijer","National Obudsman","Government (National)"
"6","All Jacob Bremer","Municipality of De Fryske Marren","Government (Municipal)"
"7","Andre Putker","Municipality of Oude IJsselstreek","Government (Municipal)"
"8","Andries van den Broek","Social and Cultural Planning Office","Government (National)"
"9","Anneke Beukers","Northern Audit Office","Government (Provincial)"
"10","Annelies Boonman","Stout Groep","Intermediaries"
"11","Annemarie Kok","Association of Dutch Municipalities","Government (Municipal)"
"12","Annie van der Werf","Province of Fryslan","Government (Provincial)"
"13","Anniek de Ruijter","University of Amsterdam","Academic and Research"
"14","Arco Groothedde","Ministry for Housing and Spatial Planning of the Netherlands","Government (National)"
"15","Arie van Rooijen","Katwijk Tenants Platform Foundation","Community and Civic Groups"
"16","Ashley North","Municipality of Leiden","Government (Municipal)"
"17","Association of Dutch Municipalities","Association of Dutch Municipalities","Government (Municipal)"
"18","Avine Fokkens","Province of Fryslan","Government (Provincial)"
"19","BBB, SP, PvdD, JA21, 50Plus and OPNL","Member of Senate","Government (National)"
"20","Bahreddine Belhaj","Dutch Association for Council Members","Government (Municipal)"
"21","Bart Jan van Ettekoven","Council of State","Government (National)"
"22","Bart Kabout","Muncipality of Aalsmeer","Government (Municipal)"
"23","Ben Voorhorst","Special Coordinator North Brabant & Limburg","Government (Provincial)"
"24","Bert Bruinsma","TriaCon","Intermediaries"
"25","Bert van Ette-ko-ven","Council of State","Government (National)"
"26","Bjarne Mastenbroek","SeARCH Architects","Developers and Construction"
"27","Bjorn Bleumink","Bjorn Bleumink","Independent"
"28","Boris van der Ham","World Heritage Site Foundation","Architectural & Planning Associations"
"29","Boudewijn Revis","Muncipality of The Hague","Government (Municipal)"
"30","Bouwend Nederland Trade Association","Bouwend Nederland Trade Association","Developers and Construction"
"31","Carla Moonen","Royal NLengineers","Developers and Construction"
"32","Cees Veerman","Minister of Agriculture, Nature and Food Quality","Government (National)"
"33","Chairman of Administrative Jurisdiction DivisionEnvironmental Chamber","Council of State","Government (National)"
"34","Christine Sijbesma","Christine Sijbesma","Independent"
"35","Cindy van de Velde","Eigen Huis Association","Community and Civic Groups"
"36","City Council of Leiden","Municipality of Leiden","Government (Municipal)"
"37","Claudia Carelse","Claudia Carelse","Independent"
"38","Co Verdaas","TU Delft","Academic and Research"
"39","Cor Hergaarden","Citizen's Initiative Warren Naturally Green","Environmental Groups"
"40","Council for Public Administration","Council for Public Administration","Government (National)"
"41","Council for the Environment and Infrastructure","Council for the Environment and Infrastructure","Government (National)"
"42","Council of De Fryske Marren","Municipality of De Fryske Marren","Government (Municipal)"
"43","Council of State","Council of State","Government (National)"
"44","David Hamers","Netherlands Environmental Assessment Agency","Government (National)"
"45","Dick Speijers","Dick Speijers","Independent"
"46","Dick Tolsma","Protestant Community of Franeker","Community and Civic Groups"
"47","Diederik Bel","Witteveen+Bos","Intermediaries"
"48","Diederik van der Mast","Rotterdam Naturally!","Community and Civic Groups"
"49","Domestic Governance","Domestic Governance","Independent"
"50","Douwe Jan Elzinga","Independent Constitutional Law Expert","Intermediaries"
"51","Eddy Westra","Eddy Westra (Farmer)","Industries and Businesses"
"52","Egbert Kalse and Vincent Sondermeijer","NRC","Independent"
"53","Elfred Bus","Municipality of Oegstgeest","Government (Municipal)"
"54","Erik de Swart","Muncipality of Heerenveen","Government (Municipal)"
"55","Erika Spil","Municipality of Bunnik","Government (Municipal)"
"56","Ester Hilhorst","I&O Research","Academic and Research"
"57","Esther Poot","Municipality of Alphen aan den Rijn","Government (Municipal)"
"58","F.J.M Crone","Member of Senate","Government (National)"
"59","Felix van Beek","Municipality of Drachten","Government (Municipal)"
"60","Frank ten Have","Municipality of Voorschoten","Government (Municipal)"
"61","Frans Tonnaer","Open University of the Netherlands","Academic and Research"
"62","Fred Kistenkas","Wageningen University","Academic and Research"
"63","Frisian Municipalities","Frisian Municipalities","Government (Provincial)"
"64","GGD","GGD","Government (Municipal)"
"65","Geert Diemer","Municipality of Katwijk","Government (Municipal)"
"66","Geert Teisman","Erasmus University","Academic and Research"
"67","Gerard Mostert","Municipality of Katwijk","Government (Municipal)"
"68","Gert-Jan de Jager","Kneppelhout Law Firm","Intermediaries"
"69","Geu Luik","Municipality of Leeuwarden","Government (Municipal)"
"70","Guus Elkhuizen","Municipality of Nieuwkoop","Government (Municipal)"
"71","Han Meyer","TU Delft","Academic and Research"
"72","Hans Bakker","Municipality of Noordwijk","Government (Municipal)"
"73","Hans Klink","Municipality of Kaag en Braassem","Government (Municipal)"
"74","Hans Polman","Council of Public Adminstration in Zeeland","Government (Provincial)"
"75","Hans Vollard","Utrecht University","Academic and Research"
"76","Hans van der Werf","Frisian Environmental Federation","Environmental Groups"
"77","Hein Kuiken","Municipality of Weststellingwerf","Government (Municipal)"
"78","Henk Ovink","Ministry of Infrastructure and the Environment","Government (National)"
"79","Henk van Dijk","Independent Neighbourhood Activist","Community and Civic Groups"
"80","Hennie Genee","Cadac Group","ICT Companies"
"81","Henri Hendrickx","Municipality of Wassenaar","Government (Municipal)"
"82","Herbert Schaap","Herbert Schaap","Industries and Businesses"
"83","Herman Weelink","Herman Weelink","Developers and Construction"
"84","Hetty Janssen","Member of Senate","Government (National)"
"85","Hugo De Jonge","Ministry for Housing and Spatial Planning of the Netherlands","Government (National)"
"86","Hus and Hiem Design Committee","Hus and Hiem Design Committee","Government (Provincial)"
"87","Huub Frencken","Leidse Parks Platform","Environmental Groups"
"88","ICT Assessment Advisory Board","ICT Assessment Advisory Board","Government (National)"
"89","ICT Testing Bureau","ICT Testing Bureau","Government (National)"
"90","IJzebrand Rijzebol","Province of Groningen","Government (Provincial)"
"91","Independent Animal Feed Company","Independent Animal Feed Company","Industries and Businesses"
"92","Independent Developer","Independent Developer","Developers and Construction"
