"","year","storyline","count","fraction","year_sum"
"1",2024,"[Decentralization is beneficial (D)]",10,0.217391304347826,46
"2",2024,"[Centralization is needed instead (C)]",6,0.130434782608696,46
"3",2024,"[EPA's Introduction should (Not Postpone)]",6,0.130434782608696,46
"4",2023,"[EPA's Introduction should (Postpone)]",7,0.111111111111111,63
"5",2023,"[EPA does not simplify procedures (Not Simple)]",6,0.0952380952380952,63
"6",2023,"[Decentralization is beneficial (D)]",5,0.0793650793650794,63
"7",2023,"[Introducing EPA leads to legal Issues]",5,0.0793650793650794,63
"8",2023,"[Process of Implementation threatens me]",5,0.0793650793650794,63
"9",2022,"[Decentralization is beneficial (D)]",12,0.136363636363636,88
"10",2022,"[EPA's Introduction should (Postpone)]",12,0.136363636363636,88
"11",2022,"[EPA is effective for CP (CP)]",8,0.0909090909090909,88
"12",2021,"[Resources are lacking for municipalities]",15,0.15625,96
"13",2021,"[Centralization is needed instead (C)]",10,0.104166666666667,96
"14",2021,"[Decentralization is beneficial (D)]",10,0.104166666666667,96
"15",2021,"[EPA not effective for CP (Not CP)]",10,0.104166666666667,96
"16",2020,"[EPA's Introduction should (Postpone)]",5,0.142857142857143,35
"17",2020,"[Centralization is needed instead (C)]",3,0.0857142857142857,35
"18",2020,"[Decentralization is beneficial (D)]",3,0.0857142857142857,35
"19",2020,"[EPA is effective for CP (CP)]",3,0.0857142857142857,35
"20",2019,"[Centralization is needed instead (C)]",5,0.178571428571429,28
"21",2019,"Implementing decentralization is difficult",2,0.0714285714285714,28
"22",2019,"Intention is good but effectiveness depends on implementation",2,0.0714285714285714,28
"23",2019,"[EPA is effective at sectoral integration]",2,0.0714285714285714,28
"24",2019,"[EPA is effective for CP (CP)]",2,0.0714285714285714,28
"25",2019,"[EPA not effective for CP (Not CP)]",2,0.0714285714285714,28
"26",2019,"[EPA's Introduction should (Not Postpone)]",2,0.0714285714285714,28
"27",2019,"[Resources are lacking for municipalities]",2,0.0714285714285714,28
"28",2018,"[Decentralization is beneficial (D)]",4,0.19047619047619,21
"29",2018,"[EPA not effective for CP (Not CP)]",3,0.142857142857143,21
"30",2018,"[Centralization is needed instead (C)]",2,0.0952380952380952,21
"31",2018,"[EPA is effective at sectoral integration]",2,0.0952380952380952,21
"32",2018,"[EPA is effective for CP (CP)]",2,0.0952380952380952,21
"33",2018,"[EPA simplifies procedures (Simple)]",2,0.0952380952380952,21
"34",2018,"[Resources are lacking for municipalities]",2,0.0952380952380952,21
"35",2017,"[Decentralization is beneficial (D)]",6,0.428571428571429,14
"36",2017,"[EPA is effective for CP (CP)]",3,0.214285714285714,14
"37",2017,"[New changes affect my interest negatively]",2,0.142857142857143,14
"38",2016,"[EPA not effective for CP (Not CP)]",6,0.315789473684211,19
"39",2016,"[Decentralization is beneficial (D)]",4,0.210526315789474,19
"40",2016,"[EPA is effective at sectoral integration]",3,0.157894736842105,19
"41",2015,"[Decentralization is beneficial (D)]",1,1,1
"42",2014,"[Centralization is needed instead (C)]",1,1,1
"43",2013,"Simplification reduced unnecessary bureaucracy",2,0.4,5
"44",2013,"[EPA simplifies procedures (Simple)]",2,0.4,5
"45",2013,"[Decentralization is beneficial (D)]",1,0.2,5
"46",2012,"[Decentralization is beneficial (D)]",1,0.5,2
"47",2012,"[EPA simplifies procedures (Simple)]",1,0.5,2
"48",2011,"[EPA simplifies procedures (Simple)]",2,0.666666666666667,3
"49",2011,"[Decentralization is beneficial (D)]",1,0.333333333333333,3
