"","year","Storyline","year_sum","count","fraction"
"1",2024,"[Decentralization is beneficial (D)]",46,10,0.217391304347826
"2",2024,"[Centralization is needed instead (C)]",46,6,0.130434782608696
"3",2024,"[EPA's Introduction should (Not Postpone)]",46,6,0.130434782608696
"4",2023,"[EPA's Introduction should (Postpone)]",63,7,0.111111111111111
"5",2023,"[EPA does not simplify procedures (Not Simple)]",63,6,0.0952380952380952
"6",2023,"[Decentralization is beneficial (D)]",63,5,0.0793650793650794
"7",2023,"[Introducing EPA leads to legal Issues]",63,5,0.0793650793650794
"8",2023,"[Process of Implementation threathens me]",63,5,0.0793650793650794
"9",2022,"[Decentralization is beneficial (D)]",88,12,0.136363636363636
"10",2022,"[EPA's Introduction should (Postpone)]",88,12,0.136363636363636
"11",2022,"[EPA is effective for CP (CP)]",88,8,0.0909090909090909
"12",2021,"[Resources are lacking for municipalities]",96,15,0.15625
"13",2021,"[Centralization is needed instead (C)]",96,10,0.104166666666667
"14",2021,"[Decentralization is beneficial (D)]",96,10,0.104166666666667
"15",2021,"[EPA not effective for CP (Not CP)]",96,10,0.104166666666667
"16",2020,"[EPA's Introduction should (Postpone)]",35,5,0.142857142857143
"17",2020,"[Centralization is needed instead (C)]",35,3,0.0857142857142857
"18",2020,"[Decentralization is beneficial (D)]",35,3,0.0857142857142857
"19",2020,"[EPA is effective for CP (CP)]",35,3,0.0857142857142857
"20",2019,"[Centralization is needed instead (C)]",28,5,0.178571428571429
"21",2019,"Implementating decentralization is difficult",28,2,0.0714285714285714
"22",2019,"Intention is good but effectiveness depends on implementation",28,2,0.0714285714285714
"23",2019,"[EPA is effective at sectoral integration (Int)]",28,2,0.0714285714285714
"24",2019,"[EPA is effective for CP (CP)]",28,2,0.0714285714285714
"25",2019,"[EPA not effective for CP (Not CP)]",28,2,0.0714285714285714
"26",2019,"[EPA's Introduction should (Not Postpone)]",28,2,0.0714285714285714
"27",2019,"[Resources are lacking for municipalities]",28,2,0.0714285714285714
"28",2018,"[Decentralization is beneficial (D)]",21,4,0.19047619047619
"29",2018,"[EPA not effective for CP (Not CP)]",21,3,0.142857142857143
"30",2018,"[Centralization is needed instead (C)]",21,2,0.0952380952380952
"31",2018,"[EPA is effective at sectoral integration (Int)]",21,2,0.0952380952380952
"32",2018,"[EPA is effective for CP (CP)]",21,2,0.0952380952380952
"33",2018,"[EPA simplifies procedures (Simple)]",21,2,0.0952380952380952
"34",2018,"[Resources are lacking for municipalities]",21,2,0.0952380952380952
"35",2017,"[Decentralization is beneficial (D)]",14,6,0.428571428571429
"36",2017,"[EPA is effective for CP (CP)]",14,3,0.214285714285714
"37",2017,"[New changes affects my interest negatively]",14,2,0.142857142857143
"38",2016,"[EPA not effective for CP (Not CP)]",19,6,0.315789473684211
"39",2016,"[Decentralization is beneficial (D)]",19,4,0.210526315789474
"40",2016,"[EPA is effective at sectoral integration (Int)]",19,3,0.157894736842105
"41",2015,"[Decentralization is beneficial (D)]",1,1,1
"42",2014,"[Centralization is needed instead (C)]",1,1,1
"43",2013,"Simplification reduced unnecessary bureaucracy",5,2,0.4
"44",2013,"[EPA simplifies procedures (Simple)]",5,2,0.4
"45",2013,"[Decentralization is beneficial (D)]",5,1,0.2
"46",2012,"[Decentralization is beneficial (D)]",2,1,0.5
"47",2012,"[EPA simplifies procedures (Simple)]",2,1,0.5
"48",2011,"[EPA simplifies procedures (Simple)]",3,2,0.666666666666667
"49",2011,"[Decentralization is beneficial (D)]",3,1,0.333333333333333
